,twitch_video_id,user_id,user_login,title,created_at,url,view_count,language,duration,muted_segments
0,2268646273,52813540,arielle,GETTING ZENNAPPED AGAIN. SPOOKY GAMES AFTER? | !merch !gg,2024-10-05T22:43:37Z,https://www.twitch.tv/videos/2268646273,25591,en,5h20m30s,
1,2269565443,52813540,arielle,GUYS I MIGHT BE THE PROBLEM AFTER ALL | !merch !gg,2024-10-07T00:08:02Z,https://www.twitch.tv/videos/2269565443,29190,en,6h3m10s,
2,2270155837,52813540,arielle,SCARY GAME WITH @froggyloch | !merch !gg,2024-10-07T20:05:09Z,https://www.twitch.tv/videos/2270155837,19482,en,4h29m40s,
