,twitch_video_id,user_id,user_login,title,created_at,url,view_count,language,duration,muted_segments
0,1290206495,169185650,robcdee,Tokyo | Kanda + Akiba! Lowriders later | !yt !vpn,2022-02-07T14:55:11Z,https://www.twitch.tv/videos/1290206495,146,en,12h30m6s,
1,2268877903,169185650,robcdee,Tokyo | Super car and super eyebrows day!| !yt !vpn !fleamarket,2024-10-06T04:32:58Z,https://www.twitch.tv/videos/2268877903,85447,en,9h43m39s,
2,2269730672,169185650,robcdee,Tokyo | 1 year aged potatoes | !yt !vpn !fleamarket,2024-10-07T05:07:40Z,https://www.twitch.tv/videos/2269730672,59886,en,7h7m56s,
