,twitch_video_id,user_id,user_login,title,created_at,url,view_count,language,duration,muted_segments
0,2012492606,76020989,joeykaotyk,🎄CHRISTMAS🎄PARTY🎄很恐怖🎄 | !2024 !yt !discord !socials,2023-12-24T05:21:32Z,https://www.twitch.tv/videos/2012492606,35154,en,4h3m0s,
1,2091162289,76020989,joeykaotyk,⚡️FEELING BETTER?⚡️!discord / SOCIALS FOR UPDATES // !youtube !backflip !socials !VPN,2024-03-15T03:44:29Z,https://www.twitch.tv/videos/2091162289,21178,en,2h49m49s,
2,2257145465,76020989,joeykaotyk,"🔥TWITCHCON DAY 2 INNNN!! SAN DIEGO // TTS $1, 100 bits 🔥",2024-09-21T23:40:54Z,https://www.twitch.tv/videos/2257145465,81183,en,6h14m46s,
3,2257759053,76020989,joeykaotyk,"🔥TWITCHCON DAY 3 TWITCH RIVALS // TTS $1, 100 bits 🔥",2024-09-22T17:43:47Z,https://www.twitch.tv/videos/2257759053,95186,en,9h39m17s,
4,2262363058,76020989,joeykaotyk,"🔥🇵🇭ASIA SUBATHON DAY 2 REDBULL DANCE YOUR STYLE !discord // TTS $1, 100 bits 🔥",2024-09-28T08:26:28Z,https://www.twitch.tv/videos/2262363058,100093,en,18h25m5s,
5,2263081899,76020989,joeykaotyk,"🔥🇵🇭ASIA SUBATHON DAY 3 Philippines !discord // TTS $1, 100 bits 🔥",2024-09-29T02:54:36Z,https://www.twitch.tv/videos/2263081899,108459,en,22h41m33s,
6,2263894341,76020989,joeykaotyk,"🔥🇵🇭ASIA SUBATHON DAY 4 !discord // TTS $1, 100 bits 🔥",2024-09-30T01:39:48Z,https://www.twitch.tv/videos/2263894341,121558,en,24h46m28s,
7,2264694020,76020989,joeykaotyk,"🔥🇮🇩ASIA SUBATHON DAY 5🔥FINDING ZEN IN BALI🔥 !discord // TTS $1, 100 bits 🔥",2024-10-01T02:29:53Z,https://www.twitch.tv/videos/2264694020,101131,en,20h3m47s,
8,2265306979,76020989,joeykaotyk,"🔥🇮🇩ASIA🇮🇩 SUBATHON DAY 6🇮🇩BALI BLISS🇮🇩 !discord // TTS $1, 100 bits🔥",2024-10-01T22:37:02Z,https://www.twitch.tv/videos/2265306979,122421,en,26h44m44s,
9,2266256939,76020989,joeykaotyk,"🔥 ASIA SUBATHON DAY 7 BALI VIBES !discord // TTS $1, 100 bits 🔥",2024-10-03T01:25:59Z,https://www.twitch.tv/videos/2266256939,109564,en,24h33m35s,
