,twitch_video_id,user_id,user_login,title,created_at,url,view_count,language,duration,muted_segments
0,2023139923,85498365,vedal987,Highlight: Stanley Parable,2024-01-05T03:28:07Z,https://www.twitch.tv/videos/2023139923,22712,en,4h14m47s,
1,2269303081,85498365,vedal987,nwero karaoke,2024-10-06T18:06:04Z,https://www.twitch.tv/videos/2269303081,65912,en,2h16m50s,
2,2270059557,85498365,vedal987,IF UNITY CRASHES I CRASH IN REAL LIFE,2024-10-07T18:00:02Z,https://www.twitch.tv/videos/2270059557,101163,en,3h37m40s,
