,twitch_video_id,user_id,user_login,title,created_at,url,view_count,language,duration,muted_segments
0,2267951093,100869214,arky,🔶 Offline 🔶 CAMERAMAN OF THE YEAR 🏆🔶 ARKY SZN 🔶 !comm !socials,2024-10-05T03:09:44Z,https://www.twitch.tv/videos/2267951093,97568,en,2h32m11s,
1,2268708042,100869214,arky,🔶 TAS44 🔶 ARKY SZN 🔶 !comm !socials🔶,2024-10-06T00:13:41Z,https://www.twitch.tv/videos/2268708042,267080,en,7h44m56s,
2,2269652103,100869214,arky,🔶Offline... 🔶 !comm !socials🔶,2024-10-07T02:19:30Z,https://www.twitch.tv/videos/2269652103,133054,en,3h48m33s,
