,twitch_video_id,user_id,user_login,title,created_at,url,view_count,language,duration,muted_segments
0,2268244710,21841789,nmplol,Cooking COMP VS @cinna - Cooking for the love of @misterarther,2024-10-05T14:03:40Z,https://www.twitch.tv/videos/2268244710,363964,en,4h8m49s,
1,2269112657,21841789,nmplol,🔥 Scuffed ones FT Very Special Guest..,2024-10-06T13:43:24Z,https://www.twitch.tv/videos/2269112657,451811,en,4h43m25s,
2,2269894313,21841789,nmplol,WONDERFUL NEW DAY! Taking @itskatchii out around AUSTIN,2024-10-07T13:32:39Z,https://www.twitch.tv/videos/2269894313,438641,en,5h7m44s,
