,id,url,broadcaster_id,broadcaster_name,creator_id,creator_name,video_id,game_id,language,title,view_count,created_at,duration,is_featured
0,FreezingSpikyWrenDerp-pTAoEOX0c7VtDnko,https://clips.twitch.tv/FreezingSpikyWrenDerp-pTAoEOX0c7VtDnko,24411833,Gigguk,880139648,xsaitamax070,,509658,en,Gigguk on tectone Hot takes,615,2024-10-04T04:42:27Z,30.0,False
1,TalentedManlyOilNotLikeThis--Tt60bLTuPeD_TmN,https://clips.twitch.tv/TalentedManlyOilNotLikeThis--Tt60bLTuPeD_TmN,24411833,Gigguk,775962178,reconnect1911,,512953,en,PLAYING ELDEN RING FOR THE FIRST TIME [ No Backseat Pls],537,2024-10-02T09:24:48Z,30.0,False
2,BusyTriumphantPelicanSMOrc-BKf4n3reW9q8daeq,https://clips.twitch.tv/BusyTriumphantPelicanSMOrc-BKf4n3reW9q8daeq,24411833,Gigguk,948218629,reonorcom,,509658,en,JUDGING YOUR HOTTEST ANIME TAKES,485,2024-10-06T15:30:50Z,30.0,False
3,SparklingAverageOwlChocolateRain-mnxNrw1s2xT3JQEM,https://clips.twitch.tv/SparklingAverageOwlChocolateRain-mnxNrw1s2xT3JQEM,24411833,Gigguk,69635753,Razorecta,,512953,en,he did it,239,2024-10-02T13:26:57Z,57.2,False
4,CautiousObliquePhonePunchTrees-QeVgbWaOVv-8mzGQ,https://clips.twitch.tv/CautiousObliquePhonePunchTrees-QeVgbWaOVv-8mzGQ,24411833,Gigguk,178374395,xTiddi,,512953,en,Parry GOD,235,2024-10-03T10:13:36Z,31.0,False
5,RichPoisedWoodpeckerWholeWheat-NA8qrM-iaYupgbZI,https://clips.twitch.tv/RichPoisedWoodpeckerWholeWheat-NA8qrM-iaYupgbZI,24411833,Gigguk,437201003,walcalr01,,512953,en,RIP controller,145,2024-10-02T13:56:08Z,48.8,False
6,TenuousYawningSwordPunchTrees-yZb3H4ixfJiz8MH9,https://clips.twitch.tv/TenuousYawningSwordPunchTrees-yZb3H4ixfJiz8MH9,24411833,Gigguk,164559613,RazielTony224,,509658,en,Nuclear Take ALERT!! XD,127,2024-10-04T06:08:59Z,30.0,False
7,CalmPeacefulJayKeepo-K89XHeXLbF5p4JsV,https://clips.twitch.tv/CalmPeacefulJayKeepo-K89XHeXLbF5p4JsV,24411833,Gigguk,1155382495,kruywastaken,,509658,en,Gigguk had to double think that one,111,2024-10-04T05:56:06Z,25.7,False
8,LivelyAffluentTubersCoolCat-fKGHfuv6g2m2Ulyp,https://clips.twitch.tv/LivelyAffluentTubersCoolCat-fKGHfuv6g2m2Ulyp,24411833,Gigguk,752734162,keorux,,509658,en,JUDGING YOUR HOTTEST ANIME TAKES,99,2024-10-04T04:45:36Z,30.0,False
9,SmokyWiseClipsdadImGlitch-0sDDPbQqVn8DPpqp,https://clips.twitch.tv/SmokyWiseClipsdadImGlitch-0sDDPbQqVn8DPpqp,24411833,Gigguk,70362540,axzodiacs,,509658,en,Blue Lock animated by Queen Bee,85,2024-10-07T12:57:06Z,30.0,False
10,RenownedOnerousPidgeonRuleFive-mOXisyTJb8Ih0Cua,https://clips.twitch.tv/RenownedOnerousPidgeonRuleFive-mOXisyTJb8Ih0Cua,24411833,Gigguk,733203142,lukaze10,,509658,en,JUDGING YOUR HOTTEST ANIME TAKES,77,2024-10-04T04:25:47Z,26.0,False
11,JazzyTransparentPoxFrankerZ-7r4Gm2SNYeyCR8Bb,https://clips.twitch.tv/JazzyTransparentPoxFrankerZ-7r4Gm2SNYeyCR8Bb,24411833,Gigguk,660370671,the_chazychez,2243819406,,en,Sydney,63,2024-10-04T11:33:03Z,60.0,False
12,DependableConcernedPoxHeyGirl-1N7q7TSGf9WNEZn3,https://clips.twitch.tv/DependableConcernedPoxHeyGirl-1N7q7TSGf9WNEZn3,24411833,Gigguk,39830245,CliffShadow,,509658,en,bible black peak,61,2024-10-04T06:22:27Z,38.8,False
13,OutstandingApatheticElkJKanStyle-pNqtBB7AGIXn76pA,https://clips.twitch.tv/OutstandingApatheticElkJKanStyle-pNqtBB7AGIXn76pA,24411833,Gigguk,247113863,KingMoniZ,,512953,en,PLAYING ELDEN RING FOR THE FIRST TIME [ No Backseat Pls],57,2024-10-02T08:57:25Z,26.0,False
