,id,url,broadcaster_id,broadcaster_name,creator_id,creator_name,video_id,game_id,language,title,view_count,created_at,duration,is_featured
0,DepressedSmoothSandwichDatSheffy-ME1gNBTfqJTsG9j6,https://clips.twitch.tv/DepressedSmoothSandwichDatSheffy-ME1gNBTfqJTsG9j6,66628850,Arrav,66893062,BaboonError,,509658,en,Arrav 700,74402,2024-10-07T23:51:15Z,43.1,True
1,ObeseIgnorantGerbilHoneyBadger-mad8gnHz3AZ6NaKk,https://clips.twitch.tv/ObeseIgnorantGerbilHoneyBadger-mad8gnHz3AZ6NaKk,66628850,Arrav,43958252,macczc,,509658,en,self spot,1669,2024-10-04T02:00:07Z,18.6,False
2,WittyAggressivePeanutBIRB-dtTist2l6bsZ4I6a,https://clips.twitch.tv/WittyAggressivePeanutBIRB-dtTist2l6bsZ4I6a,66628850,Arrav,62694212,InfiniteSilver,,509658,en,Arrav finally learnt,587,2024-10-04T00:11:37Z,14.4,False
3,AstuteSpikyEyeballKeepo-FyFOVYk0rqPjhb2k,https://clips.twitch.tv/AstuteSpikyEyeballKeepo-FyFOVYk0rqPjhb2k,66628850,Arrav,28050733,Maspen,,509658,en,arrav improv,539,2024-10-03T18:08:48Z,46.5,False
4,GiantBillowingDeerArsonNoSexy-S_i7Utw-Avpd7Isp,https://clips.twitch.tv/GiantBillowingDeerArsonNoSexy-S_i7Utw-Avpd7Isp,66628850,Arrav,1030072996,Tridus,2269561060,509658,en,Repping The Set,463,2024-10-07T15:16:06Z,27.7,False
5,CooperativeSucculentArugulaYouWHY-UNTzh4rgx_RqmVOt,https://clips.twitch.tv/CooperativeSucculentArugulaYouWHY-UNTzh4rgx_RqmVOt,66628850,Arrav,105530657,Yuuklid,,509658,en,PVP,461,2024-10-01T01:54:35Z,11.4,False
6,NurturingSoftWasabiGingerPower-fAW1w5yZoMFWIYHq,https://clips.twitch.tv/NurturingSoftWasabiGingerPower-fAW1w5yZoMFWIYHq,66628850,Arrav,1093164344,wtf2bj,,509658,en,Arrav is so funny,343,2024-10-03T18:22:30Z,30.0,False
7,YummyPuzzledTarsierOSsloth-EMSK5lF0ML-HemHM,https://clips.twitch.tv/YummyPuzzledTarsierOSsloth-EMSK5lF0ML-HemHM,66628850,Arrav,1075471327,TightenTheNoose,,509658,en,UU? RR,295,2024-10-07T03:21:14Z,13.0,False
8,ObliquePoorCougarTwitchRPG-dx_khAoQK4PdMUgV,https://clips.twitch.tv/ObliquePoorCougarTwitchRPG-dx_khAoQK4PdMUgV,66628850,Arrav,889287164,contraryscript,,509658,en,👻Homeless Hermit Walks 10KM to Hostel 🎃 (walk #2 today❗️) !donate !tts !discord,285,2024-10-06T07:36:09Z,28.0,False
9,KnottyFriendlyCurryBloodTrail-2SoSgE79Be0hP0et,https://clips.twitch.tv/KnottyFriendlyCurryBloodTrail-2SoSgE79Be0hP0et,66628850,Arrav,167339429,no_irl,,509658,en,ronnie is 6'3,275,2024-10-01T01:18:17Z,60.0,False
10,GiftedWiseAlfalfaNononoCat-Q6TaC6bDDtxMGH6b,https://clips.twitch.tv/GiftedWiseAlfalfaNononoCat-Q6TaC6bDDtxMGH6b,66628850,Arrav,559986829,bootersnaps,,509658,en,Our boy hit 10k followers!,263,2024-10-06T08:19:35Z,16.7,False
11,ProtectiveTangibleJayGOWSkull-9n5D-J8d3DUlMB_P,https://clips.twitch.tv/ProtectiveTangibleJayGOWSkull-9n5D-J8d3DUlMB_P,66628850,Arrav,148445718,f1owm0,,509658,en,arrav discovers face time effects,255,2024-10-06T04:33:01Z,60.0,False
12,FaithfulColorfulGrouseTF2John-U-6-BtN3QiW4t_3y,https://clips.twitch.tv/FaithfulColorfulGrouseTF2John-U-6-BtN3QiW4t_3y,66628850,Arrav,800944813,grey_katt,,509658,en,pick your taco!,231,2024-10-01T03:07:31Z,60.0,False
13,UglyCleverBarracudaGivePLZ-3oI5DOWXZSbDd-6Q,https://clips.twitch.tv/UglyCleverBarracudaGivePLZ-3oI5DOWXZSbDd-6Q,66628850,Arrav,148445718,f1owm0,,509658,en,dumbledore,171,2024-10-06T08:24:47Z,13.4,False
14,NimbleSmoggyFishSoonerLater-DCJRW39HGhzMiaIs,https://clips.twitch.tv/NimbleSmoggyFishSoonerLater-DCJRW39HGhzMiaIs,66628850,Arrav,279728709,egriil,,509658,en,I got a sub with W timing,159,2024-10-01T01:12:24Z,40.7,False
15,CreativeHomelyAlfalfaLeeroyJenkins-dFCC8iJqNfbx5LID,https://clips.twitch.tv/CreativeHomelyAlfalfaLeeroyJenkins-dFCC8iJqNfbx5LID,66628850,Arrav,1001768598,0981827,,509658,en,Sleeping in Knuts room 100bit TTS ,123,2024-10-01T00:52:44Z,30.0,False
16,ScrumptiousOriginalYamCoolStoryBob-4rOIfn31bU9z4yvK,https://clips.twitch.tv/ScrumptiousOriginalYamCoolStoryBob-4rOIfn31bU9z4yvK,66628850,Arrav,1030072996,Tridus,2269561060,509658,en,Oil Check,105,2024-10-07T15:08:17Z,16.7,False
17,DeadHorriblePresidentSMOrc-Y0wVRpmw_HQTIeKZ,https://clips.twitch.tv/DeadHorriblePresidentSMOrc-Y0wVRpmw_HQTIeKZ,66628850,Arrav,80336644,Brodders_,,509658,en,❗️OTK IMPROV TOP STREAMER EPISODE 6❗️@vangard,97,2024-10-05T11:43:16Z,30.0,False
18,PeppyRenownedMooseStoneLightning-Q8ectFp4dGZWm9vb,https://clips.twitch.tv/PeppyRenownedMooseStoneLightning-Q8ectFp4dGZWm9vb,66628850,Arrav,97096191,DeckxLUX,,509658,en,BACK DAY w. @lacari @ronaldo_quan & @juliakins !discord !tts,93,2024-10-07T03:29:01Z,30.0,False
19,RichResoluteGalagoSSSsss-4F0Xdcuc2gaPNgbu,https://clips.twitch.tv/RichResoluteGalagoSSSsss-4F0Xdcuc2gaPNgbu,66628850,Arrav,1001768598,0981827,,509658,en,Sleeping in Knuts room 100bit TTS ,93,2024-10-01T00:55:28Z,30.0,False
20,ScaryAthleticSamosaDeIlluminati-B9jbACIlUUetUKRX,https://clips.twitch.tv/ScaryAthleticSamosaDeIlluminati-B9jbACIlUUetUKRX,66628850,Arrav,559303627,5cottFive,,509658,en,"10,000 Followers!!! LFG",91,2024-10-06T08:20:42Z,60.0,False
21,PopularHomelyDonkeyEleGiggle-mZe90DGKABz7S6Uu,https://clips.twitch.tv/PopularHomelyDonkeyEleGiggle-mZe90DGKABz7S6Uu,66628850,Arrav,1154413171,cedoxep689,,509658,en,🟥GYM at Iron Forge w. @ronaldo_quan  !discord !tts !donate,85,2024-10-01T03:19:22Z,30.0,False
22,DeliciousShinyScorpionKippa-HATd_Osfnv3MDvHq,https://clips.twitch.tv/DeliciousShinyScorpionKippa-HATd_Osfnv3MDvHq,66628850,Arrav,148445718,f1owm0,,498592,en,bedtime story,83,2024-10-01T07:21:24Z,38.5,False
23,ThankfulBenevolentFlyTebowing-7Utqr5zOlYKgn6qI,https://clips.twitch.tv/ThankfulBenevolentFlyTebowing-7Utqr5zOlYKgn6qI,66628850,Arrav,105530657,Yuuklid,,509658,en,Halo Xbox Live,63,2024-10-04T02:28:32Z,27.5,False
24,DiligentMotionlessBarracudaAsianGlow-43jA5wsL0XldqJ8O,https://clips.twitch.tv/DiligentMotionlessBarracudaAsianGlow-43jA5wsL0XldqJ8O,66628850,Arrav,608334869,SchmidtXCVII,,498592,en,Sleeping in @knut NEW Bedge TTS 150 !TTS !donate !discord,59,2024-10-01T06:04:48Z,30.0,False
25,ImpartialTiredFriseeAllenHuhu-P2vyTdGxiGNLuGz0,https://clips.twitch.tv/ImpartialTiredFriseeAllenHuhu-P2vyTdGxiGNLuGz0,66628850,Arrav,1093164344,wtf2bj,,509658,en,Haha,55,2024-10-03T18:04:18Z,30.0,False
26,AttractiveShyWrenDoggo-9RqVtsCrTSaW5fa5,https://clips.twitch.tv/AttractiveShyWrenDoggo-9RqVtsCrTSaW5fa5,66628850,Arrav,1060657458,infi45,,509658,en,Best Place in the Gym,53,2024-10-07T01:45:49Z,35.3,False
27,QuaintBlazingOrangeSSSsss-1YkTwYNoAV01_FP4,https://clips.twitch.tv/QuaintBlazingOrangeSSSsss-1YkTwYNoAV01_FP4,66628850,Arrav,59987718,zhey_k,2268819125,509658,en,CUTE DOGO,53,2024-10-06T22:26:09Z,46.9,False
28,CoyCulturedTermiteDerp-yGidObLcCet1WOUj,https://clips.twitch.tv/CoyCulturedTermiteDerp-yGidObLcCet1WOUj,66628850,Arrav,143403829,Gizimoo86,,498592,en,scary gorilla peek,53,2024-10-01T14:33:06Z,12.8,False
29,AntsyNastyParrotSeemsGood-G0feICeHuF5D9PsP,https://clips.twitch.tv/AntsyNastyParrotSeemsGood-G0feICeHuF5D9PsP,66628850,Arrav,153333263,UrsinhoAgressivo,,498592,en,.,51,2024-10-01T13:45:48Z,46.4,False
30,NastyGleamingAirGuitarBabyRage-SA4DL0e_htGjr4h_,https://clips.twitch.tv/NastyGleamingAirGuitarBabyRage-SA4DL0e_htGjr4h_,66628850,Arrav,209307291,noddiz,,509658,en,katchi wtf,43,2024-10-04T10:25:34Z,33.6,False
31,BreakableMistyKeyboardFunRun-yI0yC0R1E5dP4Qcw,https://clips.twitch.tv/BreakableMistyKeyboardFunRun-yI0yC0R1E5dP4Qcw,66628850,Arrav,1154413171,cedoxep689,,509658,en,🟥GYM at Iron Forge w. @ronaldo_quan  !discord !tts !donate,35,2024-10-01T04:57:31Z,30.0,False
32,ThankfulCautiousLaptopPeteZaroll-YZbTJqlFuywoJKcN,https://clips.twitch.tv/ThankfulCautiousLaptopPeteZaroll-YZbTJqlFuywoJKcN,66628850,Arrav,1154413171,cedoxep689,,509658,en,🟥GYM at Iron Forge w. @ronaldo_quan  !discord !tts !donate,33,2024-10-01T04:55:20Z,30.0,False
33,RockyCrunchyAntPeoplesChamp-ZmDs-wg79qD_5_gQ,https://clips.twitch.tv/RockyCrunchyAntPeoplesChamp-ZmDs-wg79qD_5_gQ,66628850,Arrav,66893062,BaboonError,,509658,en,Arrav 675,33,2024-10-07T23:45:24Z,60.0,False
34,FitDistinctRingDuDudu-KkxvJ-poaLmFoTYQ,https://clips.twitch.tv/FitDistinctRingDuDudu-KkxvJ-poaLmFoTYQ,66628850,Arrav,132818805,dspadez112,,509658,en,BACK DAY w. @lacari @ronaldo_quan & @juliakins !discord !tts,31,2024-10-07T02:00:22Z,30.0,False
35,AwkwardSlipperyMosquitoLitty-l7dnRf_40N4PK3Le,https://clips.twitch.tv/AwkwardSlipperyMosquitoLitty-l7dnRf_40N4PK3Le,66628850,Arrav,764281336,martinbg_,,509658,en,❗️OTK IMPROV TOP STREAMER EPISODE 6❗️,27,2024-10-03T16:48:02Z,30.0,False
36,AuspiciousPowerfulHorseradishDancingBanana-qNJCK8WdSh1aR0HK,https://clips.twitch.tv/AuspiciousPowerfulHorseradishDancingBanana-qNJCK8WdSh1aR0HK,66628850,Arrav,66893062,BaboonError,,509658,en,Arrav Lift 1,23,2024-10-07T23:42:52Z,60.0,False
37,BillowingTentativeCroquetteThunBeast-cIeo3WKkXVAflpQZ,https://clips.twitch.tv/BillowingTentativeCroquetteThunBeast-cIeo3WKkXVAflpQZ,66628850,Arrav,1075471327,TightenTheNoose,,509658,en,Training at IronForge with @Ronaldo_quan,15,2024-10-04T03:29:20Z,30.0,False
38,AwkwardOpenSamosaFailFish-cb1i5Sw33z4OMzW_,https://clips.twitch.tv/AwkwardOpenSamosaFailFish-cb1i5Sw33z4OMzW_,66628850,Arrav,417106075,balotelli32,2268819125,509658,en,Got 🍕 from Viewer & walk from Ironforge👻 All the way to a Hostel🎃 25km total walk today💀,15,2024-10-07T02:39:15Z,30.0,False
39,AttractiveCalmThymePermaSmug-yAX4Ifw0b59hTXaX,https://clips.twitch.tv/AttractiveCalmThymePermaSmug-yAX4Ifw0b59hTXaX,66628850,Arrav,37065846,Paturikku,,509658,en,Tazed,13,2024-10-03T18:08:24Z,25.3,False
