,id,url,broadcaster_id,broadcaster_name,creator_id,creator_name,video_id,game_id,language,title,view_count,created_at,duration,is_featured
0,DullTardyThymeVoHiYo-GRZCFUhyV9J-6xyb,https://clips.twitch.tv/DullTardyThymeVoHiYo-GRZCFUhyV9J-6xyb,1057785822,MichiMochievee,187444412,KontrollMaster,2268858892,1432908059,en,WHAT,729,2024-10-06T09:16:08Z,50.9,False
1,TriumphantEvilDootPanicBasket-GH4uS-beAhcE0s-h,https://clips.twitch.tv/TriumphantEvilDootPanicBasket-GH4uS-beAhcE0s-h,1057785822,MichiMochievee,49626431,MikeFre928,,509658,en,"X means 10, Michi!",481,2024-10-04T09:53:39Z,60.0,False
2,ObedientHeartlessHerringBabyRage-uNlCkENH7WLDAPC2,https://clips.twitch.tv/ObedientHeartlessHerringBabyRage-uNlCkENH7WLDAPC2,1057785822,MichiMochievee,105968308,flame_leo18,2268858892,1432908059,en,called it a booger...,181,2024-10-06T08:44:04Z,22.8,False
3,BreakableMistyPancakePJSugar-ReQXvfiixxHavxuD,https://clips.twitch.tv/BreakableMistyPancakePJSugar-ReQXvfiixxHavxuD,1057785822,MichiMochievee,439672599,lenderjun,2267982339,509658,en,What's that sound?,157,2024-10-05T04:31:34Z,5.0,False
4,ImportantYawningPicklesKappaRoss-4QaZHqSGxTG0-LcO,https://clips.twitch.tv/ImportantYawningPicklesKappaRoss-4QaZHqSGxTG0-LcO,1057785822,MichiMochievee,40249801,PrimeRadiancy,2268858892,1432908059,en,Chester becomes ugly,153,2024-10-06T10:22:45Z,30.0,False
5,InventiveEnchantingStinkbugMVGame-potENTOenbq1uajm,https://clips.twitch.tv/InventiveEnchantingStinkbugMVGame-potENTOenbq1uajm,1057785822,MichiMochievee,185775178,TealVelvetVT,2268858892,1432908059,en,YOU CAN WHAT TO ARI?!,139,2024-10-06T07:55:32Z,5.0,False
6,CheerfulFriendlyBottleResidentSleeper-mqnpGfNvbEKDXZAA,https://clips.twitch.tv/CheerfulFriendlyBottleResidentSleeper-mqnpGfNvbEKDXZAA,1057785822,MichiMochievee,479164855,Brawndo_YEP,2268858892,1432908059,en,You were saying?,83,2024-10-06T12:06:37Z,56.7,False
7,EntertainingGiantBurritoUWot-30GZHkdaOuBFpLfC,https://clips.twitch.tv/EntertainingGiantBurritoUWot-30GZHkdaOuBFpLfC,1057785822,MichiMochievee,75758734,Faithality_,2267982339,509658,en,🔴 WHY IS IT OCTOBER ALREADY AAAAAAAAA | !merch !tts !game !discord !collab,75,2024-10-05T05:14:24Z,28.0,False
8,FriendlySaltyAubergineMingLee-jeLapZnXRXRjzhYU,https://clips.twitch.tv/FriendlySaltyAubergineMingLee-jeLapZnXRXRjzhYU,1057785822,MichiMochievee,82295461,jherchin12345,2268858892,1432908059,en,he said what now?,65,2024-10-06T11:25:58Z,20.7,False
9,RockySlickClipzWoofer-L7GI5OU8hsMPtQQG,https://clips.twitch.tv/RockySlickClipzWoofer-L7GI5OU8hsMPtQQG,1057785822,MichiMochievee,153754875,tarag17,,509658,en,🔴 IM IN PAAAIIN AAAAAAAAAAA | !merch !tts !game !discord !collab,65,2024-10-04T07:33:56Z,30.0,False
10,VibrantSplendidWaterBlargNaut-LD_zaDMsj6iFe2ia,https://clips.twitch.tv/VibrantSplendidWaterBlargNaut-LD_zaDMsj6iFe2ia,1057785822,MichiMochievee,614855164,MintRiver11,,509658,en,Backshoot Roulette,47,2024-10-03T07:57:37Z,39.9,False
11,CulturedAliveRatOSfrog-7a1W_konStbtAgsf,https://clips.twitch.tv/CulturedAliveRatOSfrog-7a1W_konStbtAgsf,1057785822,MichiMochievee,61944564,DaeTimes2,,509658,en,🔴 IM IN PAAAIIN AAAAAAAAAAA | !merch !tts !game !discord !collab,43,2024-10-04T08:52:38Z,30.0,False
12,AbstemiousFineGullBlargNaut-AqmFPcV8zSjlGktJ,https://clips.twitch.tv/AbstemiousFineGullBlargNaut-AqmFPcV8zSjlGktJ,1057785822,MichiMochievee,129733756,crazydylan21,,509658,en,that was a flirt,39,2024-10-04T07:15:56Z,60.0,False
13,IncredulousTenderCodDxCat-H86LoCJPihbZ2lj0,https://clips.twitch.tv/IncredulousTenderCodDxCat-H86LoCJPihbZ2lj0,1057785822,MichiMochievee,105968308,flame_leo18,2268858892,1432908059,en,the things michi says,39,2024-10-06T08:59:50Z,54.9,False
14,KathishTemperedKleeDatBoi-ct8qDdkDkuHT5vk9,https://clips.twitch.tv/KathishTemperedKleeDatBoi-ct8qDdkDkuHT5vk9,1057785822,MichiMochievee,541341141,kreamcheese878823,2267982339,509658,en,Michi Serenading Chat,39,2024-10-05T06:15:57Z,60.0,False
15,RoughOutstandingYakDuDudu--o3JCEYbXp1KzOSj,https://clips.twitch.tv/RoughOutstandingYakDuDudu--o3JCEYbXp1KzOSj,1057785822,MichiMochievee,61944564,DaeTimes2,,509658,en,🔴 IM IN PAAAIIN AAAAAAAAAAA | !merch !tts !game !discord !collab,37,2024-10-04T08:52:20Z,30.0,False
16,EsteemedEnticingSwordCharlieBitMe-X2yIBcDyVLEZ3Fpw,https://clips.twitch.tv/EsteemedEnticingSwordCharlieBitMe-X2yIBcDyVLEZ3Fpw,1057785822,MichiMochievee,186677586,ragintonicpotato,,509658,en,hiding smth,35,2024-10-04T05:45:00Z,49.4,False
17,ZanyTenderSpiderMau5-d1lH18d-p1sVjuj-,https://clips.twitch.tv/ZanyTenderSpiderMau5-d1lH18d-p1sVjuj-,1057785822,MichiMochievee,185775178,TealVelvetVT,2267982339,509658,en,"""Fingerin' is...""",33,2024-10-05T06:08:31Z,22.6,False
18,FragileWanderingFlamingoTwitchRPG-eDxAQzR4kWfQUj74,https://clips.twitch.tv/FragileWanderingFlamingoTwitchRPG-eDxAQzR4kWfQUj74,1057785822,MichiMochievee,218887338,paulsd95,,509658,en,Michi discovers Win+Shift+S,29,2024-10-04T05:05:38Z,44.1,False
19,AlluringFragileRutabaga4Head-7oZNkLHzjvtafhbD,https://clips.twitch.tv/AlluringFragileRutabaga4Head-7oZNkLHzjvtafhbD,1057785822,MichiMochievee,564840307,gguiann,2267982339,509658,en,🔴 WHY IS IT OCTOBER ALREADY AAAAAAAAA | !merch !tts !game !discord !collab,27,2024-10-05T05:02:15Z,30.0,False
20,SmokyEmpathicWombatKappaRoss-vgTauln4VMfQuuu2,https://clips.twitch.tv/SmokyEmpathicWombatKappaRoss-vgTauln4VMfQuuu2,1057785822,MichiMochievee,105968308,flame_leo18,,509658,en,chat trolling michi,23,2024-10-04T05:34:05Z,60.0,False
21,EagerWittyPancakeHeyGirl-OLPzdFxLGXtBnjUJ,https://clips.twitch.tv/EagerWittyPancakeHeyGirl-OLPzdFxLGXtBnjUJ,1057785822,MichiMochievee,1104254310,zqynmalik,,509658,en,🔴 TODAY IS A DAY KINDA DAY!! -> CHILL & NOT WEIRD STREAM (REAL)  | !merch !tts !game !discord !collab,23,2024-10-03T00:57:06Z,30.0,False
22,BumblingConcernedThymeBlargNaut-pbt6VD4Ji4f0Lved,https://clips.twitch.tv/BumblingConcernedThymeBlargNaut-pbt6VD4Ji4f0Lved,1057785822,MichiMochievee,942368390,Zeb_______,,509658,en,Send Michi pictures of your massive girthy credit card,23,2024-10-04T05:03:33Z,60.0,False
23,RichSucculentFennelThisIsSparta-LmIJRjgtH5s97ruL,https://clips.twitch.tv/RichSucculentFennelThisIsSparta-LmIJRjgtH5s97ruL,1057785822,MichiMochievee,54235281,Iz_zl,,509658,en,Michi skipped math and history lessons,21,2024-10-04T09:55:30Z,44.1,False
24,BillowingToughTigerMingLee-t799JdLaAt9ugeGo,https://clips.twitch.tv/BillowingToughTigerMingLee-t799JdLaAt9ugeGo,1057785822,MichiMochievee,105968308,flame_leo18,2268858892,509658,en,What painting?,21,2024-10-06T06:10:13Z,59.8,False
25,YummyTenuousMacaroniTBTacoLeft-Bo43Ow3MCi1mnyFg,https://clips.twitch.tv/YummyTenuousMacaroniTBTacoLeft-Bo43Ow3MCi1mnyFg,1057785822,MichiMochievee,206390586,WillBillTheAspyRebel,2267982339,509658,en,Imagine it's not her...,21,2024-10-05T06:46:18Z,60.0,False
26,ShortBlindingClamResidentSleeper-oWS25l73vTiP9W9a,https://clips.twitch.tv/ShortBlindingClamResidentSleeper-oWS25l73vTiP9W9a,1057785822,MichiMochievee,273566828,nightkighty,2268858892,1432908059,en,Stay In My .....,19,2024-10-06T07:50:24Z,20.0,False
27,FamousOddArtichokeCorgiDerp-qcWZf4BdjG-kqxyi,https://clips.twitch.tv/FamousOddArtichokeCorgiDerp-qcWZf4BdjG-kqxyi,1057785822,MichiMochievee,537722796,axiell012,,1286840579,en,🔴 HORROR w/ @ironmouse @hajime | !merch !tts !game !discord !collab,19,2024-10-03T11:22:01Z,30.0,False
28,RespectfulPeacefulSnakeRuleFive-qmHCfDMvwwnY9SuI,https://clips.twitch.tv/RespectfulPeacefulSnakeRuleFive-qmHCfDMvwwnY9SuI,1057785822,MichiMochievee,929803673,Karmakat_VT,,509658,en,Michi's Age Revealed? 1,19,2024-10-04T06:02:55Z,60.0,False
29,HandsomeToughPeachDuDudu-SmRhOZON7QggUjOF,https://clips.twitch.tv/HandsomeToughPeachDuDudu-SmRhOZON7QggUjOF,1057785822,MichiMochievee,509355477,matcharrie,2268858892,1432908059,en,we gave her a big mushroom 🍄,19,2024-10-06T11:15:47Z,60.0,False
30,SpoopyToughSpiderStoneLightning-0KaFkKAPVFZXjVvC,https://clips.twitch.tv/SpoopyToughSpiderStoneLightning-0KaFkKAPVFZXjVvC,1057785822,MichiMochievee,929803673,Karmakat_VT,,509658,en,Michi's Age Revealed? 2,17,2024-10-04T06:03:51Z,60.0,False
31,ReliableHeadstrongWrenKappaClaus-TFKl_F_DwVo2t1QW,https://clips.twitch.tv/ReliableHeadstrongWrenKappaClaus-TFKl_F_DwVo2t1QW,1057785822,MichiMochievee,141526670,ArmyMarro,2268858892,1432908059,en,SHINY SANDILE NOWAYING,17,2024-10-06T09:23:41Z,59.1,False
32,CulturedProudSalsifyOSsloth-xNcyZdmmbPF-MT6X,https://clips.twitch.tv/CulturedProudSalsifyOSsloth-xNcyZdmmbPF-MT6X,1057785822,MichiMochievee,538253334,axarel8,,509658,en,🔴 IM IN PAAAIIN AAAAAAAAAAA | !merch !tts !game !discord !collab,15,2024-10-04T06:54:38Z,30.0,False
33,BillowingRefinedEchidnaANELE-dPYZt9MAUIOWUVSQ,https://clips.twitch.tv/BillowingRefinedEchidnaANELE-dPYZt9MAUIOWUVSQ,1057785822,MichiMochievee,137481995,globtofan,2267982339,509658,en,Pumpkins in indonesia,15,2024-10-05T08:22:44Z,59.9,False
34,InexpensiveCoweringHamburgerPeteZaroll-uxQmtKmDjkdZRYXc,https://clips.twitch.tv/InexpensiveCoweringHamburgerPeteZaroll-uxQmtKmDjkdZRYXc,1057785822,MichiMochievee,129733756,crazydylan21,,509658,en,is she hip?,13,2024-10-04T06:33:15Z,50.6,False
35,ComfortableSillyNightingale4Head-DmgxoJhIiivevtLj,https://clips.twitch.tv/ComfortableSillyNightingale4Head-DmgxoJhIiivevtLj,1057785822,MichiMochievee,105968308,flame_leo18,2268858892,1432908059,en,THE LOOK ON HER FACE!,13,2024-10-06T10:24:49Z,59.2,False
36,DoubtfulFineWolverineStrawBeary-zQy72gTZLcTh-0ey,https://clips.twitch.tv/DoubtfulFineWolverineStrawBeary-zQy72gTZLcTh-0ey,1057785822,MichiMochievee,105968308,flame_leo18,2268858892,1432908059,en,she's getting what?,13,2024-10-06T11:25:32Z,22.2,False
37,PunchyColorfulDolphinTBTacoLeft-NCuWuTOFAMw-Zb1j,https://clips.twitch.tv/PunchyColorfulDolphinTBTacoLeft-NCuWuTOFAMw-Zb1j,1057785822,MichiMochievee,797497818,voidelessdna,,509658,en,"laughed too hard, the mic went deaf",13,2024-10-03T08:17:06Z,60.0,False
38,TameLazyMushroomDansGame-xl0WtjcHg0nkM0Ef,https://clips.twitch.tv/TameLazyMushroomDansGame-xl0WtjcHg0nkM0Ef,1057785822,MichiMochievee,705547158,takoyakj,,509658,en,🔴 WHAT DO U GUYS DO FOR HALLOWEEN?? | !merch !tts !game !discord !collab,13,2024-10-04T03:41:18Z,30.0,False
39,PrettiestCrypticBottleTinyFace-Dl1ttBeGyqHixFpH,https://clips.twitch.tv/PrettiestCrypticBottleTinyFace-Dl1ttBeGyqHixFpH,1057785822,MichiMochievee,39051888,Jumbus,2268858892,1432908059,en,Shiny Sandile Chester,13,2024-10-06T13:02:29Z,60.0,False
40,BadMotionlessStinkbugANELE-8L78PCC3rbFT6qZi,https://clips.twitch.tv/BadMotionlessStinkbugANELE-8L78PCC3rbFT6qZi,1057785822,MichiMochievee,229942471,7hypnos,,509658,en,🔴 IM IN PAAAIIN AAAAAAAAAAA | !merch !tts !game !discord !collab,11,2024-10-04T10:05:01Z,26.0,False
41,PoorPuzzledMochaOhMyDog-9HE2V-cF7jS9t-09,https://clips.twitch.tv/PoorPuzzledMochaOhMyDog-9HE2V-cF7jS9t-09,1057785822,MichiMochievee,105968308,flame_leo18,,509658,en,Michi learns pc stuff,11,2024-10-04T05:24:50Z,56.2,False
42,JollyBigWolfYee-8htmoyxpMnrw-7cI,https://clips.twitch.tv/JollyBigWolfYee-8htmoyxpMnrw-7cI,1057785822,MichiMochievee,705547158,takoyakj,,509658,en,🔴 WHAT DO U GUYS DO FOR HALLOWEEN?? | !merch !tts !game !discord !collab,9,2024-10-04T03:36:48Z,30.0,False
43,BillowingReliableTrayEleGiggle-iJQdDcSWbuaaRhaA,https://clips.twitch.tv/BillowingReliableTrayEleGiggle-iJQdDcSWbuaaRhaA,1057785822,MichiMochievee,185775178,TealVelvetVT,2268858892,1432908059,en,"""Everytime i k¡ll a pkmn my thing goes up."" — Michi, 2024",9,2024-10-06T09:06:39Z,5.0,False
