,id,url,broadcaster_id,broadcaster_name,creator_id,creator_name,video_id,game_id,language,title,view_count,created_at,duration,is_featured
0,ResourcefulColorfulCaribouMikeHogu-9jtkxfUgFlzwRARk,https://clips.twitch.tv/ResourcefulColorfulCaribouMikeHogu-9jtkxfUgFlzwRARk,56649026,Quin69,56460877,EmrakulTheBotcher,2269161963,509658,en,FireStarter69,61463,2024-10-06T19:57:49Z,30.0,False
1,SpinelessPreciousBurritoJebaited-H-vG9zSbSRl-Jx4t,https://clips.twitch.tv/SpinelessPreciousBurritoJebaited-H-vG9zSbSRl-Jx4t,56649026,Quin69,12487525,I34773,2269161963,509658,en,Kids playing with fire,43343,2024-10-06T20:28:05Z,31.8,False
2,BlightedHealthyDragonDuDudu-ev6q1vO2ATOfqNnt,https://clips.twitch.tv/BlightedHealthyDragonDuDudu-ev6q1vO2ATOfqNnt,56649026,Quin69,227690598,jebaited69_,,509658,en,irony69,3277,2024-10-02T09:12:17Z,30.9,False
3,ArborealSingleGoldfishTebowing-DVPy-ftdq7kBR-5y,https://clips.twitch.tv/ArborealSingleGoldfishTebowing-DVPy-ftdq7kBR-5y,56649026,Quin69,151092736,Smellywolph,2269161963,509658,en,Actual height vs Gandalf,1919,2024-10-06T19:43:57Z,22.3,False
4,RespectfulZanyDragonGOWSkull-xRGFnZbB8RbfDGW6,https://clips.twitch.tv/RespectfulZanyDragonGOWSkull-xRGFnZbB8RbfDGW6,56649026,Quin69,86128208,dogtordog,,666563290,en,facts,1327,2024-10-01T20:08:45Z,11.8,False
5,BenevolentEncouragingGnatBudBlast-smiDSSM0e-Ty_9dV,https://clips.twitch.tv/BenevolentEncouragingGnatBudBlast-smiDSSM0e-Ty_9dV,56649026,Quin69,29168121,Reva1i,,14842174,en,LMAO,1243,2024-10-04T20:06:14Z,11.1,False
6,AntsySmilingDeerDuDudu-l1m6iTJSok1u-kLn,https://clips.twitch.tv/AntsySmilingDeerDuDudu-l1m6iTJSok1u-kLn,56649026,Quin69,66729221,GlitteringButts,2269161963,509658,en,zacPls,1221,2024-10-06T19:27:06Z,21.4,False
7,TameScaryHornetJonCarnage-EZW1EoPc9VCt3G4T,https://clips.twitch.tv/TameScaryHornetJonCarnage-EZW1EoPc9VCt3G4T,56649026,Quin69,35850893,aLimeBear,,509658,en,new ai kinda...,965,2024-10-04T17:55:24Z,58.0,False
8,KawaiiVenomousWrenchGOWSkull-4yu2FC8Zsf1C17Vw,https://clips.twitch.tv/KawaiiVenomousWrenchGOWSkull-4yu2FC8Zsf1C17Vw,56649026,Quin69,25657662,50saccinmysoccidgaf,,13389,en,built the game wrong xdd,751,2024-10-04T22:17:35Z,19.7,False
9,SlickAbnegateAntDeIlluminati-VJVmsZ6BeX7q0PAO,https://clips.twitch.tv/SlickAbnegateAntDeIlluminati-VJVmsZ6BeX7q0PAO,56649026,Quin69,229142528,Demo1FPS,,515024,en,kek,563,2024-10-02T18:23:11Z,16.0,False
10,InspiringBoldRingPlanking-9YECE29ZTlrsV745,https://clips.twitch.tv/InspiringBoldRingPlanking-9YECE29ZTlrsV745,56649026,Quin69,109115343,Galeb_,2269161963,509658,en,Zac on Fire,543,2024-10-06T20:27:01Z,10.0,False
11,WildCharmingMeatloafNerfRedBlaster-Sdw48bhpJNFBEC8z,https://clips.twitch.tv/WildCharmingMeatloafNerfRedBlaster-Sdw48bhpJNFBEC8z,56649026,Quin69,471259033,Sacrom,,509658,en,Rent A Friend,483,2024-10-03T15:19:16Z,20.6,False
12,DeliciousSourKuduRitzMitz-iRqAkiFNl6MxZauM,https://clips.twitch.tv/DeliciousSourKuduRitzMitz-iRqAkiFNl6MxZauM,56649026,Quin69,109115343,Galeb_,2269161963,509658,en,John Catbo,471,2024-10-06T16:46:27Z,9.2,False
13,SpikyChillyClintPogChamp-_NxUTdUWnZjmU_fv,https://clips.twitch.tv/SpikyChillyClintPogChamp-_NxUTdUWnZjmU_fv,56649026,Quin69,435624829,tevont,,13389,en,zxcvdfg,463,2024-10-02T17:32:57Z,18.5,False
14,TriangularBoldSlothLitFam-5qIrFnw0DprlT5w5,https://clips.twitch.tv/TriangularBoldSlothLitFam-5qIrFnw0DprlT5w5,56649026,Quin69,86679158,Intrets,2269945853,515024,en,foreshadowing,455,2024-10-07T22:10:37Z,14.1,False
15,GleamingDarkSquidThunBeast-HwrKbGBG_2GqdH8e,https://clips.twitch.tv/GleamingDarkSquidThunBeast-HwrKbGBG_2GqdH8e,56649026,Quin69,86679158,Intrets,2269945853,515024,en,ZINEMA,401,2024-10-07T23:30:41Z,40.3,False
16,TentativeRudeMochaWutFace-oM-XQr7N2yG7Vy4p,https://clips.twitch.tv/TentativeRudeMochaWutFace-oM-XQr7N2yG7Vy4p,56649026,Quin69,565201986,doloriferous,2269161963,509658,en,Impossible for there to be a forest fire,383,2024-10-06T20:29:27Z,60.0,False
17,PoisedIntelligentPotatoWholeWheat-vCHdN13GnnZJDZ4O,https://clips.twitch.tv/PoisedIntelligentPotatoWholeWheat-vCHdN13GnnZJDZ4O,56649026,Quin69,42587830,Fl3ss,,509658,en,ww3,379,2024-10-01T16:41:26Z,11.9,False
18,EmpathicSpicySkunkBleedPurple-dUZFhOcTCf3hvO7e,https://clips.twitch.tv/EmpathicSpicySkunkBleedPurple-dUZFhOcTCf3hvO7e,56649026,Quin69,145072414,Benjjamin,,515024,en,Zac's thoughts after Quin forced him to watch D4,339,2024-10-02T20:05:10Z,42.9,False
19,NimbleViscousLadiesMoreCowbell-7ANX190-lduwMBKG,https://clips.twitch.tv/NimbleViscousLadiesMoreCowbell-7ANX190-lduwMBKG,56649026,Quin69,106967989,neurodr0me,,14842174,en,quin sound effect,335,2024-10-03T18:56:43Z,10.4,False
20,BenevolentPreciousKuduPeteZaroll-rQ-aG6cWmuki1a2a,https://clips.twitch.tv/BenevolentPreciousKuduPeteZaroll-rQ-aG6cWmuki1a2a,56649026,Quin69,11910251,Ravenwebb,,515024,en,invest now,331,2024-10-02T19:02:38Z,60.0,False
21,SparklyOpenPorpoiseFreakinStinkin-S8ET8y1e7YF91zuO,https://clips.twitch.tv/SparklyOpenPorpoiseFreakinStinkin-S8ET8y1e7YF91zuO,56649026,Quin69,86679158,Intrets,2269161963,509658,en,unhinged,279,2024-10-06T20:26:56Z,60.0,False
22,TriangularTangibleWebDansGame-VoCaRnNNtEavg1R4,https://clips.twitch.tv/TriangularTangibleWebDansGame-VoCaRnNNtEavg1R4,56649026,Quin69,51613437,Aztheron,,509658,en,hackermans,269,2024-10-04T16:16:18Z,7.6,False
23,EphemeralEsteemedAniseBCWarrior-o6pAKslO21iqjWQa,https://clips.twitch.tv/EphemeralEsteemedAniseBCWarrior-o6pAKslO21iqjWQa,56649026,Quin69,50505060,JF90,,14842174,en,zac coom,237,2024-10-04T20:50:04Z,8.7,False
24,GorgeousShakingClipsdadTinyFace-_Fb2zzWCufoVP0Et,https://clips.twitch.tv/GorgeousShakingClipsdadTinyFace-_Fb2zzWCufoVP0Et,56649026,Quin69,55627525,ppreo,,509658,en,hezbollah,195,2024-10-01T16:53:16Z,31.1,False
25,PunchyDeafDonutDeIlluminati-KuCzSWtVj8qQoZK9,https://clips.twitch.tv/PunchyDeafDonutDeIlluminati-KuCzSWtVj8qQoZK9,56649026,Quin69,109115343,Galeb_,2269161963,509658,en,Fire,191,2024-10-06T20:01:50Z,30.0,False
26,BlightedWanderingKangarooCoolCat-8PS-6OG1P9vLhqNu,https://clips.twitch.tv/BlightedWanderingKangarooCoolCat-8PS-6OG1P9vLhqNu,56649026,Quin69,86679158,Intrets,2269945853,515024,en,talking to a math person,191,2024-10-07T23:09:13Z,18.7,False
27,TalentedWonderfulReindeerHeyGuys-b6gOoYR7NrPgmHbo,https://clips.twitch.tv/TalentedWonderfulReindeerHeyGuys-b6gOoYR7NrPgmHbo,56649026,Quin69,610672388,2old4badgames,2268287128,513949,en,lost to tutorial,171,2024-10-05T17:26:14Z,30.0,False
28,TiredSmellyGorillaEleGiggle-f0kovvaCTpxz1Wjf,https://clips.twitch.tv/TiredSmellyGorillaEleGiggle-f0kovvaCTpxz1Wjf,56649026,Quin69,26781738,MrFlashcat,2269945853,509658,en,sanest quin take,171,2024-10-07T19:24:14Z,18.3,False
29,InterestingTacitKiwiTTours-DSkEiTZgritEEvro,https://clips.twitch.tv/InterestingTacitKiwiTTours-DSkEiTZgritEEvro,56649026,Quin69,136362837,OOLLII,2269161963,509658,en,asdf,159,2024-10-06T17:03:39Z,11.0,False
30,ReliableColorfulCookieCopyThis-fZARR1yrDStxy9rH,https://clips.twitch.tv/ReliableColorfulCookieCopyThis-fZARR1yrDStxy9rH,56649026,Quin69,431094255,robkoo23,,13389,en,quin noob,159,2024-10-02T17:10:53Z,37.6,False
31,CarelessBetterCiderSquadGoals-D-yEOybEJ1ClVqby,https://clips.twitch.tv/CarelessBetterCiderSquadGoals-D-yEOybEJ1ClVqby,56649026,Quin69,25376579,Crackin,2269161963,509658,en,PEPELA,155,2024-10-06T18:07:57Z,30.0,False
32,TastySmallWaterDAESuppy-L8HvEygGMxSJuWqv,https://clips.twitch.tv/TastySmallWaterDAESuppy-L8HvEygGMxSJuWqv,56649026,Quin69,136362837,OOLLII,2269161963,509658,en,random hobo hut,139,2024-10-06T19:11:58Z,53.3,False
33,FairSpeedyAlbatrossImGlitch-KWcNrA5AoGDILRnI,https://clips.twitch.tv/FairSpeedyAlbatrossImGlitch-KWcNrA5AoGDILRnI,56649026,Quin69,19660975,ReDEyeDz,,509658,en,10k censoring brain,133,2024-10-03T17:21:15Z,23.5,False
34,NeighborlySucculentLardTwitchRaid-wLFfOA7aesnT--So,https://clips.twitch.tv/NeighborlySucculentLardTwitchRaid-wLFfOA7aesnT--So,56649026,Quin69,22977780,wainrih,,515024,en,trolly loly,117,2024-10-02T18:59:47Z,60.0,False
35,GlutenFreeMuddyTroutHassanChop-9yqr1uQiKd5T3rge,https://clips.twitch.tv/GlutenFreeMuddyTroutHassanChop-9yqr1uQiKd5T3rge,56649026,Quin69,93796657,Artesius,2268287128,19731,en,85 iq struggle ICANT,115,2024-10-05T18:36:03Z,42.0,False
36,RudeGiantFiddleheadsDAESuppy-N5jfsBAuIuDl1OHG,https://clips.twitch.tv/RudeGiantFiddleheadsDAESuppy-N5jfsBAuIuDl1OHG,56649026,Quin69,30904503,ShereKhanXD,,509658,en,Fuck Elden Ring,115,2024-10-03T17:31:23Z,16.3,False
37,RoundThoughtfulFinchMikeHogu-jNAcFBv3LhfxEvww,https://clips.twitch.tv/RoundThoughtfulFinchMikeHogu-jNAcFBv3LhfxEvww,56649026,Quin69,179319070,ogpurpledaddy,,14842174,en,The Great Fall,113,2024-10-04T20:07:09Z,23.3,False
38,PolishedElegantMouseDansGame-2PK11txRXbGcGtD-,https://clips.twitch.tv/PolishedElegantMouseDansGame-2PK11txRXbGcGtD-,56649026,Quin69,35850893,aLimeBear,,14842174,en,To be continued...,111,2024-10-05T14:05:26Z,11.4,False
39,HedonisticManlyStinkbugSoBayed-f_8l_daAGb1XGbWt,https://clips.twitch.tv/HedonisticManlyStinkbugSoBayed-f_8l_daAGb1XGbWt,56649026,Quin69,30991351,MrPopcandy,2269945853,515024,en,DEI,109,2024-10-07T20:02:13Z,21.3,False
40,SuperCoweringAxeTriHard-iICm8YN9qlu8FOZw,https://clips.twitch.tv/SuperCoweringAxeTriHard-iICm8YN9qlu8FOZw,56649026,Quin69,85957655,six_toes_,,509658,en,Zac Baseg,99,2024-10-06T02:52:22Z,31.6,False
41,ArbitraryClearSoybeanAMPEnergy-3YeLGotokeExKA4k,https://clips.twitch.tv/ArbitraryClearSoybeanAMPEnergy-3YeLGotokeExKA4k,56649026,Quin69,54821647,confuzious,2269945853,515024,en,Coffee guy - Quin Who,97,2024-10-07T22:45:46Z,19.4,False
42,TriumphantLongGarbageSpicyBoy-p2aiA4QvXzXSxNZ8,https://clips.twitch.tv/TriumphantLongGarbageSpicyBoy-p2aiA4QvXzXSxNZ8,56649026,Quin69,37537870,bnpeki,2268287128,509658,en,111111,95,2024-10-05T17:19:29Z,60.0,False
43,TangibleEasyMinkCmonBruh-368dNm0IDeprdRgF,https://clips.twitch.tv/TangibleEasyMinkCmonBruh-368dNm0IDeprdRgF,56649026,Quin69,19660975,ReDEyeDz,2269161963,509658,en,caveman discovers fire,95,2024-10-06T15:47:38Z,20.2,False
