,id,url,broadcaster_id,broadcaster_name,creator_id,creator_name,video_id,game_id,language,title,view_count,created_at,duration,is_featured
0,RamshackleHonestHippoPJSalt-7_sEYzK2o30OHnE0,https://clips.twitch.tv/RamshackleHonestHippoPJSalt-7_sEYzK2o30OHnE0,20786541,Yogscast,76604085,faaafv,2267271645,490744,en-gb,classic rythian,821,2024-10-04T10:30:42Z,30.0,True
1,KnottyIncredulousKiwiGrammarKing-hcuu0OBsYTp6uIzX,https://clips.twitch.tv/KnottyIncredulousKiwiGrammarKing-hcuu0OBsYTp6uIzX,20786541,Yogscast,76604085,faaafv,2266642483,15825,en-gb,prematurate explosion,427,2024-10-03T16:35:32Z,30.0,True
2,KnottyDistinctStarlingHeyGuys-gKb0BLF9oPKkrAz3,https://clips.twitch.tv/KnottyDistinctStarlingHeyGuys-gKb0BLF9oPKkrAz3,20786541,Yogscast,76604085,faaafv,2266642483,15825,en-gb,0,383,2024-10-03T18:10:49Z,30.0,True
3,KawaiiZealousAnacondaTheThing-SEiFiLbA_YZfmlju,https://clips.twitch.tv/KawaiiZealousAnacondaTheThing-SEiFiLbA_YZfmlju,20786541,Yogscast,76604085,faaafv,2266642483,15825,en-gb,great strat,281,2024-10-03T17:16:41Z,30.0,True
4,AmazonianSassyAdminFloof-yIsyFcOn8aB18P7w,https://clips.twitch.tv/AmazonianSassyAdminFloof-yIsyFcOn8aB18P7w,20786541,Yogscast,76604085,faaafv,2266642483,15825,en-gb,jump YEP,207,2024-10-03T17:39:16Z,19.5,True
5,SmokyCarelessChoughAliens-JhVWYPph4oDHziXX,https://clips.twitch.tv/SmokyCarelessChoughAliens-JhVWYPph4oDHziXX,20786541,Yogscast,76604085,faaafv,2266642483,15825,en-gb,2 classic turns,169,2024-10-03T17:05:54Z,47.9,True
6,UnsightlyScarySwordKAPOW-N8i37KppbY-tODfm,https://clips.twitch.tv/UnsightlyScarySwordKAPOW-N8i37KppbY-tODfm,20786541,Yogscast,76604085,faaafv,2266550547,512998,en-gb,wait wut,139,2024-10-03T13:27:47Z,30.0,True
7,PopularHeadstrongDootSoBayed-EQZ2kUMGibgOAdNH,https://clips.twitch.tv/PopularHeadstrongDootSoBayed-EQZ2kUMGibgOAdNH,20786541,Yogscast,17292857,Gargflaps,2268317135,1269041770,en-gb,I've got five queens again,107,2024-10-05T19:38:05Z,60.0,False
8,RenownedCulturedYakinikuTwitchRaid-ehQdd9N0GpK6sTVQ,https://clips.twitch.tv/RenownedCulturedYakinikuTwitchRaid-ehQdd9N0GpK6sTVQ,20786541,Yogscast,76604085,faaafv,2266642483,15825,en-gb,lewis is dangling his worm,83,2024-10-03T16:15:46Z,23.3,True
9,CoweringKindBaguetteMrDestructoid-Zk1pWvsA5ZVZXqht,https://clips.twitch.tv/CoweringKindBaguetteMrDestructoid-Zk1pWvsA5ZVZXqht,20786541,Yogscast,76604085,faaafv,2266642483,15825,en-gb,how to jetpack,79,2024-10-03T16:20:44Z,30.0,True
