,id,url,broadcaster_id,broadcaster_name,creator_id,creator_name,video_id,game_id,language,title,view_count,created_at,duration,is_featured
0,LivelySparklyFrogANELE-cjpJ8wY32obqOdTK,https://clips.twitch.tv/LivelySparklyFrogANELE-cjpJ8wY32obqOdTK,45098797,CDawgVA,175944334,Coronis7,,459064,en-gb,Pete whiffs his Ultimate on a boss...for the 2nd time,8337,2024-10-03T03:31:04Z,14.0,True
1,AttractiveBlindingJackalHotPokket-BEuaLfei6gMZwVnZ,https://clips.twitch.tv/AttractiveBlindingJackalHotPokket-BEuaLfei6gMZwVnZ,45098797,CDawgVA,175944334,Coronis7,,459064,en-gb,"He did not, in fact, have the ult",459,2024-10-03T03:40:50Z,33.7,False
2,DarlingHelplessFlyEagleEye-lIPRfXqVjYlDfQSu,https://clips.twitch.tv/DarlingHelplessFlyEagleEye-lIPRfXqVjYlDfQSu,45098797,CDawgVA,57046133,saphirekosmos,,509658,en-gb,wir,165,2024-10-02T04:23:40Z,18.6,False
3,HyperDepressedBulgogiPupper-h8iQ-9DFc4f-QSi-,https://clips.twitch.tv/HyperDepressedBulgogiPupper-h8iQ-9DFc4f-QSi-,45098797,CDawgVA,152498271,route_10_,2269658932,2185,en-gb,JERMA MADE ME PLAY THIS... | !merch !rv !roomreviews !submissions,165,2024-10-07T03:23:22Z,30.0,False
4,ExuberantInnocentPassionfruitTooSpicy-wd89JCgbFp-bzzwD,https://clips.twitch.tv/ExuberantInnocentPassionfruitTooSpicy-wd89JCgbFp-bzzwD,45098797,CDawgVA,243957281,21_kiwi,,506456,en-gb,pls,131,2024-10-02T05:10:21Z,13.8,False
5,DoubtfulAbstrusePeppermintOMGScoots-Z6kVEwbRFr28gApz,https://clips.twitch.tv/DoubtfulAbstrusePeppermintOMGScoots-Z6kVEwbRFr28gApz,45098797,CDawgVA,77651888,Tr4ky,,459064,en-gb,legends never die again,125,2024-10-03T09:56:57Z,10.5,False
6,DreamyWittyReubenBrainSlug-Llba2GSdP6iTJ5Kb,https://clips.twitch.tv/DreamyWittyReubenBrainSlug-Llba2GSdP6iTJ5Kb,45098797,CDawgVA,69140358,Davidzido,,459064,en-gb,Pete ICANT,101,2024-10-03T03:08:51Z,30.0,False
7,VictoriousEncouragingCiderDoggo-hial3EMeQv8bgkUb,https://clips.twitch.tv/VictoriousEncouragingCiderDoggo-hial3EMeQv8bgkUb,45098797,CDawgVA,42137726,Zypris,,459064,en-gb,Practicing,81,2024-10-03T03:39:31Z,15.8,False
8,LongTallSpaghettiTBTacoRight-0A7nhDLmKMmj5crF,https://clips.twitch.tv/LongTallSpaghettiTBTacoRight-0A7nhDLmKMmj5crF,45098797,CDawgVA,140443690,ItsSnorLex,2269658932,8910,en-gb,russel'd the hawg fish,73,2024-10-07T06:01:30Z,29.1,False
9,PunchyVenomousJamTebowing-uLJkcodmv_5OcKI7,https://clips.twitch.tv/PunchyVenomousJamTebowing-uLJkcodmv_5OcKI7,45098797,CDawgVA,766503516,withtiredeyeswegaze,,509658,en-gb,Cuphead Connor name mention,69,2024-10-03T11:13:13Z,30.0,False
10,IntelligentFamousFrogSoonerLater-uOJUg7OaWcF0SwO9,https://clips.twitch.tv/IntelligentFamousFrogSoonerLater-uOJUg7OaWcF0SwO9,45098797,CDawgVA,175826734,Eddric,,509658,en-gb,cozy af,53,2024-10-02T04:20:16Z,30.0,False
11,AmusedDreamyDolphinTBCheesePull-6_Bh88CQAr6W3YKi,https://clips.twitch.tv/AmusedDreamyDolphinTBCheesePull-6_Bh88CQAr6W3YKi,45098797,CDawgVA,42137726,Zypris,,459064,en-gb,American no longer,49,2024-10-03T03:36:27Z,30.2,False
12,PopularVictoriousStarlingMcaT-bR_h2OOcjcyQmVul,https://clips.twitch.tv/PopularVictoriousStarlingMcaT-bR_h2OOcjcyQmVul,45098797,CDawgVA,140287681,chaoschristi,,509658,en-gb,Dhalucard on CDawgVA's Charity Flea Market in Japan,49,2024-10-07T12:05:13Z,44.0,False
13,ConfidentAmazingTarsierKappa-6P0AELRgK9EURpyV,https://clips.twitch.tv/ConfidentAmazingTarsierKappa-6P0AELRgK9EURpyV,45098797,CDawgVA,52075766,AxelTakashi,,506456,en-gb,he said what,41,2024-10-02T21:58:43Z,37.4,False
14,HeartlessLightGuanacoPanicVis-GCe8ITnnFSx4-nC4,https://clips.twitch.tv/HeartlessLightGuanacoPanicVis-GCe8ITnnFSx4-nC4,45098797,CDawgVA,130303128,suma_luma,,509658,en-gb,test,41,2024-10-01T14:36:47Z,32.2,False
15,IntelligentCrispyCoffeeWholeWheat-oAvr_LSH3ka7pkwS,https://clips.twitch.tv/IntelligentCrispyCoffeeWholeWheat-oAvr_LSH3ka7pkwS,45098797,CDawgVA,547061669,ReAmara77,,506456,en-gb,FINAL SATISFACTORY STREAM FOR NOW! GAMING WITH MOUSE! @ironmouse | !ironmouse !satisfactory !roomreviews !submissions !merch,37,2024-10-02T06:56:03Z,28.0,False
16,RealGleamingBubbleteaTooSpicy-eb5TSZt21mgz-Ej4,https://clips.twitch.tv/RealGleamingBubbleteaTooSpicy-eb5TSZt21mgz-Ej4,45098797,CDawgVA,114018707,CrookedRecoil,,506456,en-gb,t,35,2024-10-02T11:10:19Z,15.9,False
