,id,url,broadcaster_id,broadcaster_name,creator_id,creator_name,video_id,game_id,language,title,view_count,created_at,duration,is_featured
0,SingleResilientPieFutureMan-KbqFLfnhi5J49O5o,https://clips.twitch.tv/SingleResilientPieFutureMan-KbqFLfnhi5J49O5o,169185650,robcdee,751180312,lllIIIIIllIII,2268877903,509658,en,Hane Ame mousepad,74309,2024-10-06T13:20:29Z,57.9,False
1,OpenGracefulJackalJonCarnage-zD3ey22fPeV-PJM2,https://clips.twitch.tv/OpenGracefulJackalJonCarnage-zD3ey22fPeV-PJM2,169185650,robcdee,114918554,shipperization,2268877903,509658,en,Cultured Robert,1501,2024-10-06T09:17:49Z,11.8,False
2,AnimatedDeadDotterelThisIsSparta-DDqr_0mFuzTmHuOP,https://clips.twitch.tv/AnimatedDeadDotterelThisIsSparta-DDqr_0mFuzTmHuOP,169185650,robcdee,117558669,erwinsky,,509658,en,porsche turbo,1379,2024-10-02T07:47:06Z,5.0,False
3,EnjoyableGleamingPicklesPartyTime-gAIqXOzrrax0if34,https://clips.twitch.tv/EnjoyableGleamingPicklesPartyTime-gAIqXOzrrax0if34,169185650,robcdee,23810546,shawnu,2268877903,509658,en,Hane Ame,941,2024-10-06T09:28:13Z,30.0,False
4,DarlingRacyShallotDatBoi-cnWbIAVEwAqQe-PS,https://clips.twitch.tv/DarlingRacyShallotDatBoi-cnWbIAVEwAqQe-PS,169185650,robcdee,633508512,dangartz,,509658,en,Tracy vs Youtube Intro,859,2024-10-03T05:32:32Z,53.4,False
5,TolerantSillyDelicataRitzMitz-GaB-jzeO7H0xG0Pa,https://clips.twitch.tv/TolerantSillyDelicataRitzMitz-GaB-jzeO7H0xG0Pa,169185650,robcdee,558398178,RovingiCams,,509658,en,Fortunate Interruption,839,2024-10-02T10:46:04Z,32.4,False
6,AgileHyperSheepCurseLit--EiA1fnUmzWwjiDS,https://clips.twitch.tv/AgileHyperSheepCurseLit--EiA1fnUmzWwjiDS,169185650,robcdee,924763809,futurespy55,,509658,en,OUCH!,753,2024-10-02T06:39:05Z,30.0,False
7,SpeedyFreezingSalmonTwitchRPG-CsKmvrkfcL2Vhi7V,https://clips.twitch.tv/SpeedyFreezingSalmonTwitchRPG-CsKmvrkfcL2Vhi7V,169185650,robcdee,513284750,kikooo3o,2268877903,509658,en,now that's fast food,711,2024-10-06T06:27:29Z,53.6,False
8,BoringYawningDaikonPJSalt-GfjcCWRzg2qu4XWu,https://clips.twitch.tv/BoringYawningDaikonPJSalt-GfjcCWRzg2qu4XWu,169185650,robcdee,171371429,Dunko78,,509658,en,So Cuuute,579,2024-10-02T08:47:53Z,22.5,False
9,PolishedOptimisticQueleaAsianGlow-wporOIWWPU-MLQMB,https://clips.twitch.tv/PolishedOptimisticQueleaAsianGlow-wporOIWWPU-MLQMB,169185650,robcdee,72932595,CallMeInfinity,2269730672,509658,en,Rob exposes he had fresh non-recycled content prior to 2023,497,2024-10-07T10:53:39Z,54.4,False
10,ObedientEntertainingBaboonFrankerZ-gbtyT390CX41k4Wp,https://clips.twitch.tv/ObedientEntertainingBaboonFrankerZ-gbtyT390CX41k4Wp,169185650,robcdee,128472755,saltysailor595,2268877903,509658,en,Tokyo | Super car and super eyebrows day! | !yt !vpn !fleamarket,463,2024-10-06T09:09:14Z,29.0,False
